Day,Weekday,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival,Distance (km),Travel Time (min),Distance (km),Travel Time (min)
1,Monday,No trips,32.0,,32.0,,
2,Tuesday,No trips,32.0,,32.0,,
3,Wednesday,No trips,32.0,,32.0,,
4,Thursday,No trips,32.0,,32.0,,
5,Friday,No trips,32.0,,32.0,,
6,Saturday,No trips,32.0,,32.0,,
7,Sunday,No trips,32.0,,32.0,,
8,Monday,No trips,32.0,,32.0,,
9,Tuesday,No trips,32.0,,32.0,,
10,Wednesday,No trips,32.0,,32.0,,
11,Thursday,No trips,32.0,,32.0,,
12,Friday,No trips,32.0,,32.0,,
13,Saturday,No trips,32.0,,32.0,,
14,Sunday,No trips,32.0,,32.0,,
15,Monday,No trips,32.0,,32.0,,
16,Tuesday,No trips,32.0,,32.0,,
17,Wednesday,No trips,32.0,,32.0,,
18,Thursday,No trips,32.0,,32.0,,
19,Friday,No trips,32.0,,32.0,,
20,Saturday,No trips,32.0,,32.0,,
21,Sunday,No trips,32.0,,32.0,,
22,Monday,No trips,32.0,,32.0,,
23,Tuesday,No trips,32.0,,32.0,,
24,Wednesday,No trips,32.0,,32.0,,
25,Thursday,No trips,32.0,,32.0,,
26,Friday,No trips,32.0,,32.0,,
27,Saturday,No trips,32.0,,32.0,,
28,Sunday,No trips,32.0,,32.0,,
29,Monday,No trips,32.0,,32.0,,
30,Tuesday,No trips,32.0,,32.0,,
31,Wednesday,No trips,32.0,,32.0,,
32,Thursday,No trips,32.0,,32.0,,
33,Friday,No trips,32.0,,32.0,,
34,Saturday,No trips,32.0,,32.0,,
35,Sunday,No trips,32.0,,32.0,,
36,Monday,No trips,32.0,,32.0,,
37,Tuesday,No trips,32.0,,32.0,,
38,Wednesday,No trips,32.0,,32.0,,
39,Thursday,No trips,32.0,,32.0,,
40,Friday,No trips,32.0,,32.0,,
41,Saturday,No trips,32.0,,32.0,,
42,Sunday,No trips,32.0,,32.0,,
43,Monday,No trips,32.0,,32.0,,
44,Tuesday,No trips,32.0,,32.0,,
45,Wednesday,No trips,32.0,,32.0,,
46,Thursday,No trips,32.0,,32.0,,
47,Friday,No trips,32.0,,32.0,,
48,Saturday,No trips,32.0,,32.0,,
49,Sunday,No trips,32.0,,32.0,,
50,Monday,No trips,32.0,,32.0,,
51,Tuesday,No trips,32.0,,32.0,,
52,Wednesday,No trips,32.0,,32.0,,
53,Thursday,No trips,32.0,,32.0,,
54,Friday,No trips,32.0,,32.0,,
55,Saturday,No trips,32.0,,32.0,,
56,Sunday,No trips,32.0,,32.0,,
57,Monday,No trips,32.0,,32.0,,
58,Tuesday,No trips,32.0,,32.0,,
59,Wednesday,No trips,32.0,,32.0,,
60,Thursday,No trips,32.0,,32.0,,
61,Friday,No trips,32.0,,32.0,,
62,Saturday,No trips,32.0,,32.0,,
63,Sunday,No trips,32.0,,32.0,,
64,Monday,No trips,32.0,,32.0,,
65,Tuesday,No trips,32.0,,32.0,,
66,Wednesday,No trips,32.0,,32.0,,
67,Thursday,No trips,32.0,,32.0,,
68,Friday,No trips,32.0,,32.0,,
69,Saturday,No trips,32.0,,32.0,,
70,Sunday,No trips,32.0,,32.0,,
71,Monday,No trips,32.0,,32.0,,
72,Tuesday,No trips,32.0,,32.0,,
73,Wednesday,No trips,32.0,,32.0,,
74,Thursday,No trips,32.0,,32.0,,
75,Friday,No trips,32.0,,32.0,,
76,Saturday,No trips,32.0,,32.0,,
77,Sunday,No trips,32.0,,32.0,,
78,Monday,No trips,32.0,,32.0,,
79,Tuesday,No trips,32.0,,32.0,,
80,Wednesday,No trips,32.0,,32.0,,
81,Thursday,No trips,32.0,,32.0,,
82,Friday,No trips,32.0,,32.0,,
83,Saturday,No trips,32.0,,32.0,,
84,Sunday,No trips,32.0,,32.0,,
85,Monday,No trips,32.0,,32.0,,
86,Tuesday,No trips,32.0,,32.0,,
87,Wednesday,No trips,32.0,,32.0,,
88,Thursday,No trips,32.0,,32.0,,
89,Friday,No trips,32.0,,32.0,,
90,Saturday,No trips,32.0,,32.0,,
91,Sunday,No trips,32.0,,32.0,,
92,Monday,No trips,32.0,,32.0,,
93,Tuesday,No trips,32.0,,32.0,,
94,Wednesday,No trips,32.0,,32.0,,
95,Thursday,No trips,32.0,,32.0,,
96,Friday,No trips,32.0,,32.0,,
97,Saturday,No trips,32.0,,32.0,,
98,Sunday,No trips,32.0,,32.0,,
